表層形,品詞,品詞細分類1,品詞細分類2,品詞細分類3,活用型,活用形,原形,読み,発音
も,助詞,係助詞,*,*,*,*,も,モ,モ
なかっ,形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ない,ナカッ,ナカッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
  ,記号,空白,*,*,*,*,  ,  ,  
翌年,名詞,副詞可能,*,*,*,*,翌年,ヨクネン,ヨクネン
、,記号,読点,*,*,*,*,、,、,、
監察,名詞,サ変接続,*,*,*,*,監察,カンサツ,カンサツ
御,接頭詞,名詞接続,*,*,*,*,御,ゴ,ゴ
史,名詞,接尾,一般,*,*,*,史,シ,シ
、,記号,読点,*,*,*,*,、,、,、
陳,名詞,固有名詞,人名,姓,*,*,陳,チン,チン
郡,名詞,一般,*,*,*,*,郡,グン,グン
の,助詞,連体化,*,*,*,*,の,ノ,ノ
袁傪,名詞,固有名詞,組織,*,*,*,袁傪,袁傪,袁傪
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
者,名詞,非自立,一般,*,*,*,者,モノ,モノ
、,記号,読点,*,*,*,*,、,、,、
勅命,名詞,一般,*,*,*,*,勅命,チョクメイ,チョクメイ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
奉じ,動詞,自立,*,*,一段,連用形,奉じる,ホウジ,ホージ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
嶺,名詞,一般,*,*,*,*,嶺,ミネ,ミネ
南,名詞,一般,*,*,*,*,南,ミナミ,ミナミ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
使,名詞,接尾,一般,*,*,*,使,シ,シ
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、,記号,読点,*,*,*,*,、,、,、
途,名詞,一般,*,*,*,*,途,ト,ト
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
商,名詞,一般,*,*,*,*,商,ショウ,ショー
於,名詞,一般,*,*,*,*,於,於,於
の,助詞,連体化,*,*,*,*,の,ノ,ノ
地,名詞,一般,*,*,*,*,地,チ,チ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
宿っ,動詞,自立,*,*,五段・ラ行,連用タ接続,宿る,ヤドッ,ヤドッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
次,名詞,一般,*,*,*,*,次,ツギ,ツギ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
朝,名詞,副詞可能,*,*,*,*,朝,アサ,アサ
未だ,副詞,一般,*,*,*,*,未だ,イマダ,イマダ
暗い,形容詞,自立,*,*,形容詞・アウオ段,基本形,暗い,クライ,クライ
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
出発,名詞,サ変接続,*,*,*,*,出発,シュッパツ,シュッパツ
しよ,動詞,自立,*,*,サ変・スル,未然ウ接続,する,シヨ,シヨ
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
と,助詞,格助詞,引用,*,*,*,と,ト,ト
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ところ,名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ
、,記号,読点,*,*,*,*,、,、,、
駅,名詞,一般,*,*,*,*,駅,エキ,エキ
吏,名詞,一般,*,*,*,*,吏,吏,吏
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
言う,動詞,自立,*,*,五段・ワ行促音便,基本形,言う,イウ,イウ
こと,名詞,非自立,一般,*,*,*,こと,コト,コト
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
、,記号,読点,*,*,*,*,、,、,、
これから,副詞,助詞類接続,*,*,*,*,これから,コレカラ,コレカラ
先,名詞,一般,*,*,*,*,先,サキ,サキ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
道,名詞,一般,*,*,*,*,道,ミチ,ミチ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
人,名詞,一般,*,*,*,*,人,ヒト,ヒト
喰虎,名詞,一般,*,*,*,*,喰虎,喰虎,喰虎
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
出る,動詞,自立,*,*,一段,基本形,出る,デル,デル
故,名詞,非自立,副詞可能,*,*,*,故,ユエ,ユエ
、,記号,読点,*,*,*,*,、,、,、
旅人,名詞,一般,*,*,*,*,旅人,タビビト,タビビト
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
白昼,名詞,副詞可能,*,*,*,*,白昼,ハクチュウ,ハクチュー
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
なけれ,助動詞,*,*,*,特殊・ナイ,仮定形,ない,ナケレ,ナケレ
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ
、,記号,読点,*,*,*,*,、,、,、
通れ,動詞,自立,*,*,一段,未然形,通れる,トオレ,トーレ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。,記号,句点,*,*,*,*,。,。,。
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
まだ,副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ
朝,名詞,副詞可能,*,*,*,*,朝,アサ,アサ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
早い,形容詞,自立,*,*,形容詞・アウオ段,基本形,早い,ハヤイ,ハヤイ
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ
、,記号,読点,*,*,*,*,、,、,、
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ
少し,副詞,助詞類接続,*,*,*,*,少し,スコシ,スコシ
待た,動詞,自立,*,*,五段・タ行,未然形,待つ,マタ,マタ
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ
宜しい,形容詞,自立,*,*,形容詞・イ段,基本形,宜しい,ヨロシイ,ヨロシイ
でしょ,助動詞,*,*,*,特殊・デス,未然形,です,デショ,デショ
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
と,助詞,格助詞,引用,*,*,*,と,ト,ト
。,記号,句点,*,*,*,*,。,。,。
袁傪,名詞,一般,*,*,*,*,袁傪,袁傪,袁傪
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
しかし,接続詞,*,*,*,*,*,しかし,シカシ,シカシ
、,記号,読点,*,*,*,*,、,、,、
供廻り,名詞,一般,*,*,*,*,供廻り,トモマワリ,トモマワリ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
多勢,名詞,一般,*,*,*,*,多勢,タゼイ,タゼイ
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
の,名詞,非自立,一般,*,*,*,の,ノ,ノ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
恃,名詞,一般,*,*,*,*,恃,恃,恃
み,動詞,自立,*,*,一段,連用形,みる,ミ,ミ
、,記号,読点,*,*,*,*,、,、,、
駅,名詞,一般,*,*,*,*,駅,エキ,エキ
吏,名詞,一般,*,*,*,*,吏,吏,吏
の,助詞,連体化,*,*,*,*,の,ノ,ノ
言葉,名詞,一般,*,*,*,*,言葉,コトバ,コトバ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
斥け,動詞,自立,*,*,一段,連用形,斥ける,シリゾケ,シリゾケ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
、,記号,読点,*,*,*,*,、,、,、
出発,名詞,サ変接続,*,*,*,*,出発,シュッパツ,シュッパツ
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
残月,名詞,一般,*,*,*,*,残月,ザンゲツ,ザンゲツ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
光,名詞,一般,*,*,*,*,光,ヒカリ,ヒカリ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
たより,名詞,ナイ形容詞語幹,*,*,*,*,たより,タヨリ,タヨリ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
林,名詞,一般,*,*,*,*,林,ハヤシ,ハヤシ
中,名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
の,助詞,連体化,*,*,*,*,の,ノ,ノ
草地,名詞,固有名詞,人名,姓,*,*,草地,クサチ,クサチ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
通っ,動詞,自立,*,*,五段・ラ行,連用タ接続,通る,トオッ,トーッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
行っ,動詞,非自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ
、,記号,読点,*,*,*,*,、,、,、
果して,副詞,一般,*,*,*,*,果して,ハタシテ,ハタシテ
一,名詞,数,*,*,*,*,一,イチ,イチ
匹,名詞,接尾,助数詞,*,*,*,匹,ヒキ,ヒキ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
猛虎,名詞,一般,*,*,*,*,猛虎,モウコ,モーコ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
叢,名詞,一般,*,*,*,*,叢,クサムラ,クサムラ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ
躍り出,動詞,自立,*,*,一段,連用形,躍り出る,オドリデ,オドリデ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
虎,名詞,一般,*,*,*,*,虎,トラ,トラ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
あわや,副詞,助詞類接続,*,*,*,*,あわや,アワヤ,アワヤ
袁傪,名詞,一般,*,*,*,*,袁傪,袁傪,袁傪
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
躍りかかる,動詞,自立,*,*,五段・ラ行,基本形,躍りかかる,オドリカカル,オドリカカル
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
と,助詞,格助詞,引用,*,*,*,と,ト,ト
見え,動詞,自立,*,*,一段,連用形,見える,ミエ,ミエ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ
、,記号,読点,*,*,*,*,、,、,、
忽ち,副詞,一般,*,*,*,*,忽ち,タチマチ,タチマチ
身,名詞,一般,*,*,*,*,身,ミ,ミ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
飜,名詞,一般,*,*,*,*,飜,飜,飜
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
、,記号,読点,*,*,*,*,、,、,、
元,名詞,一般,*,*,*,*,元,モト,モト
の,助詞,連体化,*,*,*,*,の,ノ,ノ
叢,名詞,一般,*,*,*,*,叢,クサムラ,クサムラ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
隠れ,動詞,自立,*,*,一段,連用形,隠れる,カクレ,カクレ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
叢,名詞,一般,*,*,*,*,叢,クサムラ,クサムラ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ
人間,名詞,一般,*,*,*,*,人間,ニンゲン,ニンゲン
の,助詞,連体化,*,*,*,*,の,ノ,ノ
声,名詞,一般,*,*,*,*,声,コエ,コエ
で,助詞,格助詞,一般,*,*,*,で,デ,デ
「,記号,括弧開,*,*,*,*,「,「,「
あぶない,形容詞,自立,*,*,形容詞・アウオ段,基本形,あぶない,アブナイ,アブナイ
ところ,名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ
だっ,助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
」,記号,括弧閉,*,*,*,*,」,」,」
と,助詞,格助詞,引用,*,*,*,と,ト,ト
繰返し,名詞,一般,*,*,*,*,繰返し,クリカエシ,クリカエシ
呟く,動詞,自立,*,*,五段・カ行イ音便,基本形,呟く,ツブヤク,ツブヤク
の,名詞,非自立,一般,*,*,*,の,ノ,ノ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
聞え,動詞,自立,*,*,一段,連用形,聞える,キコエ,キコエ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
その,連体詞,*,*,*,*,*,その,ソノ,ソノ
声,名詞,一般,*,*,*,*,声,コエ,コエ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
袁傪,名詞,一般,*,*,*,*,袁傪,袁傪,袁傪
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
聞き,動詞,自立,*,*,五段・カ行イ音便,連用形,聞く,キキ,キキ
憶え,動詞,自立,*,*,一段,連用形,憶える,オボエ,オボエ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
あっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
驚,名詞,固有名詞,地域,一般,*,*,驚,オドロキ,オドロキ
懼,名詞,一般,*,*,*,*,懼,懼,懼
の,助詞,連体化,*,*,*,*,の,ノ,ノ
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
も,助詞,係助詞,*,*,*,*,も,モ,モ
、,記号,読点,*,*,*,*,、,、,、
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
咄嗟,名詞,一般,*,*,*,*,咄嗟,トッサ,トッサ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
思いあたっ,動詞,自立,*,*,五段・ラ行,連用タ接続,思いあたる,オモイアタッ,オモイアタッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
、,記号,読点,*,*,*,*,、,、,、
叫ん,動詞,自立,*,*,五段・バ行,連用タ接続,叫ぶ,サケン,サケン
だ,助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ
。,記号,句点,*,*,*,*,。,。,。
「,記号,括弧開,*,*,*,*,「,「,「
その,連体詞,*,*,*,*,*,その,ソノ,ソノ
声,名詞,一般,*,*,*,*,声,コエ,コエ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
我が,連体詞,*,*,*,*,*,我が,ワガ,ワガ
友,名詞,一般,*,*,*,*,友,トモ,トモ
、,記号,読点,*,*,*,*,、,、,、
李,名詞,固有名詞,人名,姓,*,*,李,リ,リ
徴,名詞,サ変接続,*,*,*,*,徴,チョウ,チョー
子,名詞,接尾,一般,*,*,*,子,コ,コ
で,助詞,格助詞,一般,*,*,*,で,デ,デ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
？,記号,一般,*,*,*,*,？,？,？
」,記号,括弧閉,*,*,*,*,」,」,」
袁傪,名詞,一般,*,*,*,*,袁傪,袁傪,袁傪
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
李,名詞,固有名詞,人名,姓,*,*,李,リ,リ
徴,名詞,一般,*,*,*,*,徴,シルシ,シルシ
と,助詞,並立助詞,*,*,*,*,と,ト,ト
同年,名詞,副詞可能,*,*,*,*,同年,ドウネン,ドーネン
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
進士,名詞,一般,*,*,*,*,進士,シンシ,シンシ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
第,接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
登り,動詞,自立,*,*,五段・ラ行,連用形,登る,ノボリ,ノボリ
、,記号,読点,*,*,*,*,、,、,、
友人,名詞,一般,*,*,*,*,友人,ユウジン,ユージン
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ
少かっ,形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,少い,スクナカッ,スクナカッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
李,名詞,固有名詞,人名,姓,*,*,李,リ,リ
徴,名詞,サ変接続,*,*,*,*,徴,チョウ,チョー
にとって,助詞,格助詞,連語,*,*,*,にとって,ニトッテ,ニトッテ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
最も,副詞,一般,*,*,*,*,最も,モットモ,モットモ
親しい,形容詞,自立,*,*,形容詞・イ段,基本形,親しい,シタシイ,シタシイ
友,名詞,一般,*,*,*,*,友,トモ,トモ
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ,助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
温和,名詞,形容動詞語幹,*,*,*,*,温和,オンワ,オンワ
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
袁傪,名詞,一般,*,*,*,*,袁傪,袁傪,袁傪
の,助詞,連体化,*,*,*,*,の,ノ,ノ
性格,名詞,一般,*,*,*,*,性格,セイカク,セイカク
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
、,記号,読点,*,*,*,*,、,、,、
峻,名詞,固有名詞,人名,名,*,*,峻,タカシ,タカシ
峭,名詞,一般,*,*,*,*,峭,峭,峭
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
李,名詞,固有名詞,人名,姓,*,*,李,リ,リ
徴,名詞,一般,*,*,*,*,徴,シルシ,シルシ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
性情,名詞,一般,*,*,*,*,性情,セイジョウ,セイジョー
と,助詞,格助詞,一般,*,*,*,と,ト,ト
衝突,名詞,サ変接続,*,*,*,*,衝突,ショウトツ,ショートツ
し,動詞,自立,*,*,サ変・スル,未然形,する,シ,シ
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ため,名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あろ,助動詞,*,*,*,五段・ラ行アル,未然ウ接続,ある,アロ,アロ
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
。,記号,句点,*,*,*,*,。,。,。
  ,記号,空白,*,*,*,*,  ,  ,  
叢,名詞,一般,*,*,*,*,叢,クサムラ,クサムラ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
暫く,副詞,一般,*,*,*,*,暫く,シバラク,シバラク
返辞,名詞,サ変接続,*,*,*,*,返辞,ヘンジ,ヘンジ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
無かっ,形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,無い,ナカッ,ナカッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
しのび,動詞,自立,*,*,五段・バ行,連用形,しのぶ,シノビ,シノビ
泣き,名詞,一般,*,*,*,*,泣き,ナキ,ナキ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
と,助詞,格助詞,引用,*,*,*,と,ト,ト
思わ,動詞,自立,*,*,五段・ワ行促音便,未然形,思う,オモワ,オモワ
れる,動詞,接尾,*,*,一段,基本形,れる,レル,レル
微か,名詞,形容動詞語幹,*,*,*,*,微か,カスカ,カスカ
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
声,名詞,一般,*,*,*,*,声,コエ,コエ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
時々,副詞,一般,*,*,*,*,時々,トキドキ,トキドキ
洩れる,動詞,自立,*,*,一段,基本形,洩れる,モレル,モレル
ばかり,助詞,副助詞,*,*,*,*,ばかり,バカリ,バカリ
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。,記号,句点,*,*,*,*,。,。,。
やや,副詞,一般,*,*,*,*,やや,ヤヤ,ヤヤ
あっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
、,記号,読点,*,*,*,*,、,、,、
低い,形容詞,自立,*,*,形容詞・アウオ段,基本形,低い,ヒクイ,ヒクイ
声,名詞,一般,*,*,*,*,声,コエ,コエ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
答え,動詞,自立,*,*,一段,連用形,答える,コタエ,コタエ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
「,記号,括弧開,*,*,*,*,「,「,「
如何にも,副詞,一般,*,*,*,*,如何にも,イカニモ,イカニモ
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
隴西,名詞,一般,*,*,*,*,隴西,隴西,隴西
の,助詞,連体化,*,*,*,*,の,ノ,ノ
李,名詞,固有名詞,人名,姓,*,*,李,リ,リ
徴,名詞,一般,*,*,*,*,徴,シルシ,シルシ
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
」,記号,括弧閉,*,*,*,*,」,」,」
と,助詞,格助詞,引用,*,*,*,と,ト,ト
。,記号,句点,*,*,*,*,。,。,。
  ,記号,空白,*,*,*,*,  ,  ,  
袁傪,名詞,一般,*,*,*,*,袁傪,袁傪,袁傪
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
恐怖,名詞,サ変接続,*,*,*,*,恐怖,キョウフ,キョーフ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
忘れ,動詞,自立,*,*,一段,連用形,忘れる,ワスレ,ワスレ
、,記号,読点,*,*,*,*,、,、,、
馬,名詞,一般,*,*,*,*,馬,ウマ,ウマ
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ
下り,動詞,自立,*,*,一段,連用形,下りる,オリ,オリ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
叢,名詞,一般,*,*,*,*,叢,クサムラ,クサムラ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
近づき,動詞,自立,*,*,五段・カ行イ音便,連用形,近づく,チカヅキ,チカズキ
、,記号,読点,*,*,*,*,、,、,、
懐かし,形容詞,自立,*,*,形容詞・イ段,ガル接続,懐かしい,ナツカシ,ナツカシ
げ,名詞,接尾,一般,*,*,*,げ,ゲ,ゲ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
久闊,名詞,一般,*,*,*,*,久闊,キュウカツ,キューカツ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
叙,名詞,サ変接続,*,*,*,*,叙,ジョ,ジョ
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
そして,接続詞,*,*,*,*,*,そして,ソシテ,ソシテ
、,記号,読点,*,*,*,*,、,、,、
何故,副詞,助詞類接続,*,*,*,*,何故,ナゼ,ナゼ
叢,名詞,一般,*,*,*,*,叢,クサムラ,クサムラ
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ
出,動詞,自立,*,*,一段,連用形,出る,デ,デ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
来,動詞,非自立,*,*,カ変・来ル,未然形,来る,コ,コ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
の,名詞,非自立,一般,*,*,*,の,ノ,ノ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
と,助詞,格助詞,引用,*,*,*,と,ト,ト
問う,動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,問う,トウ,トウ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
